academic_year,university_code,university_name,avg_fee_payers_eur,avg_fee_all_students_eur,source_id
2017-2018,08301,"Messina",1262.84,844.93,mur_university_contribution
2017-2018,08601,"Enna - KORE",3034.75,3034.15,mur_university_contribution
2017-2018,08701,"Catania",770.19,559.05,mur_university_contribution
2017-2018,09001,"Sassari",863.49,581.44,mur_university_contribution
2017-2018,09201,"Cagliari",900.99,592.36,mur_university_contribution
2017-2018,,"",,,mur_university_contribution
2017-2018,,"",,,mur_university_contribution
2017-2018,,"",,,mur_university_contribution
2017-2018,,"",,,mur_university_contribution
2017-2018,,"",,,mur_university_contribution
2017-2018,,"",,,mur_university_contribution
