DATA;COD_Ateneo;NOME_ATENEO;CODICE_STRUTTURA;DESCRIZIONE_STRUTTURA;NUMERO_STRUTTURE;POSTI_DISPONIBILI
1/11/18;01001;Genova - Università degli studi;03b;Residenze in strutture convenzionate o affidate in gestione a terzi- di cui posti assegnati a studenti in mobilità (in convenzione o a terzi);;0
1/11/18;01201;"Castellanza - Università ""Carlo Cattaneo""";01 ;Mense;0;0
1/11/18;01201;"Castellanza - Università ""Carlo Cattaneo""";02 ;Residenze direttamente gestite dall'istituto;0;0
1/11/18;01201;"Castellanza - Università ""Carlo Cattaneo""";02a;Residenze direttamente gestite dall'istituto - di cui posti assegnati a studenti dell'ateneo;;0
1/11/18;01201;"Castellanza - Università ""Carlo Cattaneo""";02b;Residenze direttamente gestite dall'istituto - di cui posti assegnati a studenti in mobilità;;0
1/11/18;01201;"Castellanza - Università ""Carlo Cattaneo""";03 ;Residenze in strutture convenzionate o affidate in gestione a terzi;0;0
1/11/18;01201;"Castellanza - Università ""Carlo Cattaneo""";03a;Residenze in strutture convenzionate o affidate in gestione a terzi - di cui posti assegnati a studenti dell'ateneo (in convenzione o a terzi);;0
1/11/18;01201;"Castellanza - Università ""Carlo Cattaneo""";03b;Residenze in strutture convenzionate o affidate in gestione a terzi- di cui posti assegnati a studenti in mobilità (in convenzione o a terzi);;0
1/11/18;01202;Varese - Università dell' Insubria;01 ;Mense;0;0
1/11/18;01202;Varese - Università dell' Insubria;02 ;Residenze direttamente gestite dall'istituto;0;0
1/11/18;01202;Varese - Università dell' Insubria;02a;Residenze direttamente gestite dall'istituto - di cui posti assegnati a studenti dell'ateneo;;0
1/11/18;01202;Varese - Università dell' Insubria;02b;Residenze direttamente gestite dall'istituto - di cui posti assegnati a studenti in mobilità;;0
1/11/18;01202;Varese - Università dell' Insubria;03 ;Residenze in strutture convenzionate o affidate in gestione a terzi;0;0
1/11/18;01202;Varese - Università dell' Insubria;03a;Residenze in strutture convenzionate o affidate in gestione a terzi - di cui posti assegnati a studenti dell'ateneo (in convenzione o a terzi);;0
1/11/18;01202;Varese - Università dell' Insubria;03b;Residenze in strutture convenzionate o affidate in gestione a terzi- di cui posti assegnati a studenti in mobilità (in convenzione o a terzi);;0
1/11/18;01301;"Novedrate (CO) - Università telematica ""e-Campus""";01 ;Mense;0;0
1/11/18;01301;"Novedrate (CO) - Università telematica ""e-Campus""";02 ;Residenze direttamente gestite dall'istituto;0;0
1/11/18;01301;"Novedrate (CO) - Università telematica ""e-Campus""";02a;Residenze direttamente gestite dall'istituto - di cui posti assegnati a studenti dell'ateneo;;0
1/11/18;01301;"Novedrate (CO) - Università telematica ""e-Campus""";02b;Residenze direttamente gestite dall'istituto - di cui posti assegnati a studenti in mobilità;;0
1/11/18;01301;"Novedrate (CO) - Università telematica ""e-Campus""";03 ;Residenze in strutture convenzionate o affidate in gestione a terzi;0;0
1/11/18;01301;"Novedrate (CO) - Università telematica ""e-Campus""";03a;Residenze in strutture convenzionate o affidate in gestione a terzi - di cui posti assegnati a studenti dell'ateneo (in convenzione o a terzi);;0
1/11/18;01301;"Novedrate (CO) - Università telematica ""e-Campus""";03b;Residenze in strutture convenzionate o affidate in gestione a terzi- di cui posti assegnati a studenti in mobilità (in convenzione o a terzi);;0
1/11/18;01501;Milano - Università degli studi;01 ;Mense;0;0
1/11/18;01501;Milano - Università degli studi;02 ;Residenze direttamente gestite dall'istituto;0;0
1/11/18;01501;Milano - Università degli studi;02a;Residenze direttamente gestite dall'istituto - di cui posti assegnati a studenti dell'ateneo;;0
1/11/18;01501;Milano - Università degli studi;02b;Residenze direttamente gestite dall'istituto - di cui posti assegnati a studenti in mobilità;;0
1/11/18;01501;Milano - Università degli studi;03 ;Residenze in strutture convenzionate o affidate in gestione a terzi;0;0
